标题,关键字
基于WEB服务的知识学习测评系统的软件设计与实现,"['B/S', '知识学习', '测评系统', 'java']"
基于FLEX的ATM机监控系统的设计与实现,"['FLEX', 'BlazeDS框架', 'Spring框架', 'Hibernate框架']"
基于J2EE的CRM客户与协议系统的设计与实现,"['Spring框架', 'MyBatis框架', 'Java RMI', 'ActiveMQ']"
基于J2EE的大众点评闪惠项目优惠系统的设计与实现,"['闪惠', 'JavaEE', 'Spring框架', 'Pigeon']"
大众点评网菜单系统的设计与实现,"['Spring框架', 'iBatis框架', 'Pigeon框架', 'Mobile框架']"
基于优化NFA正则匹配的Web信息抽取技术及应用研究,"['NFA', '网页去噪', '正则表达式', '抽取规则', 'Ext Js框架']"
基于J2EE框架的高职院校人力资源系统开发,"['人力资源管理系统', 'J2EE', 'SHH框架']"
基于J2EE的个人网络贷款系统设计与实现,"['个人网络贷款', 'J2EE', '贷款系统']"
基于JAVA WEB的虚拟数字图书电子商务平台设计与实现,"['电子商务平台Struts', 'Spring', 'Hibernate', 'SSH框架', 'JavaWeb应用JSP']"
NoSQL背景下的混合存储解决方案研究与实现,"['NoSQL', 'Spring', '数据存储', 'Spring Data', '混合持久化']"
基于JAVA的媒体网络管理系统的设计与实现,"['媒体管理', '图片存储', 'Spring框架', '水印']"
新东方在线资料配送管理系统的设计与实现,"['配送', '权限分配', '结算', '资料审核']"
基于日志和Gpfdist的缺陷自动定位系统的设计与实现,"['Spring MVC框架', '日志分析', '线程池', 'Gpfdist']"
基于Hadoop的测试系统Soak的任务管理和数据分析模块的设计与实现,"['Hadoop', '性能测试', '模拟仿真', 'Akka框架', 'Spring框架']"
ERP系统中文档传输子系统的设计与实现,"['考核表单', '文档传输', 'Spring框架', 'Hibernate框架', 'SCA框架']"
点评外卖的用户端系统商户列表和订单确认模块的设计与实现,"['Spring框架', 'iBatis框架', 'O2O', '外卖', '中间件']"
基于中文分词的舆情监控系统分析模块的设计与实现,"['舆情', '分词', 'Spring框架', 'Hibernate框架']"
大众点评团购券第三方服务系统的设计与实现,"['团购', 'Spring框架', 'Struts 2', 'iBATIS']"
基于Web的记录及提示组件系统的设计与实现,"['Spring框架', 'Hibernate框架', 'SCA', 'JUIC框架']"
基于CS架构的育儿系统智慧宝宝系统的设计与实现,"['C/S架构', 'Spring框架', 'Hibernate框架', 'Android框架', 'HTTP协议']"
基于Spring MVC的点明圈系统设计与实现,"['MVC模式', 'Spring框架', 'Hibernate框架']"
基于Web的在线交流平台的开发技术研究与应用,"['Spring框架', '服务器推送', 'DWR框架', '实时消息传输协议', 'Red5服务器', 'Oracle数据库']"
基于SSH框架的图书管理系统设计,"['SSH', '架构', '集成', '耦合']"
基于SSM整合框架开发的项目管理系统,"['项目管理系统', 'SSM整合框架', '数据持久层框架', '项目生命周期', '模块划分']"
基于分布式服务的预置铃音上传系统的研究与实现,"['个性化彩铃', '分布式服务', 'Zookeeper', 'J2EE']"
金融票据处理系统的设计与实现,"['金融票据处理', '单线程非阻塞的服务器', 'nodejs', 'JavaEE']"
基于移动办公的物流作业系统应用和研究,"['Android', '移动办公', 'UML统一建模语言']"
大众点评客户关系管理系统的设计与实现,"['MVC模式', 'Crystal框架', 'Spring框架', 'iBatis框架']"
基于Java Web的学生活动综合管理平台的设计,"['学科竞赛', 'Spring框架']"
湖南科技经贸职业学院招生信息管理系统的设计与实现,"['信息系统', '招生管理', 'SSH框架']"
基于B2B大宗商品平台中交易系统的设计与实现,"['大宗商品', 'B2B电子商务', '多元化交易模式', 'MVC模式']"
基于Hadoop的云笔记的研究与设计,"['Hadoop', '集群架构HBase', 'Spring框架', 'MVC模式']"
基于移动互联网的家政服务系统的设计与实现,"['家政服务', '服务器端', '家政服务系统', '地图定位']"
综合管理信息系统的设计与实现,"['SSH框架', 'MVC', 'J2EE', 'Android开发']"
基于J2EE的学生宿舍管理系统的设计与实现,"['宿舍管理', '学生宿舍', '分配宿舍', '学生管理']"
宁夏回族自治区社会保险业务档案系统的设计与实现,"['档案管理', 'Tapestry', 'Spring']"
电信宁夏分公司数据中心企业管理云应用与实现,"['云计算', '企业管理', '多租户', 'OSGI框架']"
科技项目管理云平台的研究及应用,"['科技项目管理', '云平台', '对象组合', '单点登录']"
本钢会议室管理系统的设计与实现,"['会议室预定', '会议室管理', 'Flex应用', '留言板']"
论spring的零配置与XML配置,"['Spring', 'XML', '零配置', '依赖注入', '控制反转件']"
基于SSI框架的考勤系统的设计与实现,"['考勤系统', 'SSI框架', 'MVC模式', 'i BATIS']"
SSI集成框架技术与应用,"['Struts框架', 'Spring框架', 'iBatis框架', 'SSI集成框架', '校园电子商务']"
GIS在面向成品粮的物流信息系统的应用研究,"['物流信息系统', '成品粮', 'GIS', 'SuperMap', 'SSH']"
基于Quartz任务调度的考勤系统设计,"['功能设计', '逻辑设计', 'Quartz', 'SSH框架']"
变压器远程可视化诊断系统的设计与实现,"['远程', '可视化', '故障诊断', '建模', '大卫三角形']"
Spring框架下IoC容器的在线考试系统设计,"['电子考场', '功能模块', 'Spring框架', 'IoC容器']"
J2EE架构下基于Web的信息管理系统框架研究,"['MVC', 'J2EE', 'SSH', 'Web信息系统', '框架研究']"
基于SSL的交易认证系统研究,"['交易认证', 'SSL', 'MD5算法改进', '加密算法', 'J2EE框架']"
垂直搜索中网页信息自动化抓取的研究与实现,"['垂直网络爬虫', '抓取覆盖', '网页时效', '抽取规则', 'Scrapy']"
基于新SSH集成框架下通信中继设备监控平台研发与实现,"['通信中继设备', 'B/S监控平台', '新SSH框架', '系统分层', '软件能力成熟度模型集成']"
O2O电子商城系统的设计与实现,"['O2O模式', '电子商务', 'Spring技术', 'Memcached技术']"
一个SNS交友系统的设计与实现,"['社会性网络交友', '框架', '相册管理']"
银川市中医院合理医疗监控监督系统的设计与实现,"['合理医疗', 'Tapestry', 'Spring', 'Ibatis']"
基于Spring框架的网上银行系统的研究与实现,"['网上银行', 'Spring', '核心框架', '控制反转', '面向切面']"
考评信息管理系统的开发,"['SSH框架', '考评信息管理', '自动遴选考评员']"
基于大数据平台的无线传感器网络应用层软件研究与设计,"['无线传感器网络', '应用层管理系统', '大数据云存储平台', 'SSH']"
多媒体呼叫中心知识库系统的设计与实现,"['呼叫中心', '知识库', '知识检索', 'SSI Lucene']"
中间件技术在雨水情管理系统中的应用研究,"['中间件技术', 'Struts框架', 'Hibernate框架', 'Spring框架', 'J2EE轻量级框架']"
基于Spring框架的依赖注入研究,"['依赖注入', 'Spring', '控制反转']"
基于Android的医学电子病历系统设计,"['移动医疗', 'Android', 'HIS', '电子病历']"
基于SSH框架的西安旅游信息展示系统的设计与实现,"['西安旅游', 'Java EE', 'SSH框架', '网站系统']"
基于SSH的保险公司销售系统的设计与实现,"['销售系统', 'SSH框架', '系统设计', '数据库设计']"
基于J2EE技术的客户关系管理系统研究,"['J2EE技术', '客户关系管理系统', '客户关系管理']"
智驭公司人力资源管理系统,"['人事管理', '绩效管理', '培训管理']"
基于MVC模式S2SH框架的库存管理系统,"['S2SH', 'Struts2框架', 'Spring框架', 'Hibernate框架', 'MVC', '库存管理系统']"
村镇环境预警系统中间件的设计与实现,"['中间件', '三层架构', 'RESTful', '框架整合']"
互动网络课堂的研究及平台设计实现,"['网络教学', '互动课堂', '开发模式', '开发框架']"
基于J2EE的建筑工程招投标系统的设计与实现,"['建筑工程', '招投标', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
基于SSH框架技术的网站后台管理功能的实现,"['Struts 2', 'Spring', 'Hibernate', 'CRUD']"
基于S2SH框架的高校科研管理系统的设计与实现,"['S2SH框架', '高校', '科研管理系统']"
城市一卡通风险监控系统的设计与实现,"['风险监控', '系统架构', 'J2EE', 'Spring']"
基于SSH框架的项目管理系统的设计与实现,"['项目管理系统', 'MVC', 'SSH框架']"
基于Web的装备信息系统的设计与实现,"['Web', '信息管理', 'Spring MVC', '权限控制', 'Hibernate']"
基于J2EE的销售流程管理系统的设计与实现,"['审批流程', '分配客户', '订单申请', '预期金额', '列名客户']"
地税征管档案电子化系统的设计与实现,"['税务信息化', '征管档案电子化', '条码技术', 'OCR', '识别技术', 'MVC']"
中考报名服务系统的设计与实现,"['中考', '报名服务系统', 'J2EE', 'Oracle']"
基于SSH2的实验实训管理系统的设计与实现,"['实验实训', 'Struts2', 'Spring', 'Hibernate']"
基于SSH的电力物资客户管理系统的研究与实现,"['客户关系管理', '电力物资', 'SSH', 'J2EE', 'MVC']"
山西省计算机应用能力考试系统的设计与实现,"['JEECG框架', 'B/S结构', 'MySQL', '考试系统', 'Web']"
基于J2EE的泰隆银行呼叫中心人工座席服务系统的设计实现,"['呼叫中心', '网上留言', '在线客服', '关联规则']"
基于IC卡电能表的电费管理系统的设计与实现,"['供电企业', '电费管理', 'SSH框架', 'RFID技术']"
基于Silverlight的赤潮监测WebGIS技术研究与应用,"['赤潮', 'Spring框架', 'ArcGIS', 'Silverlight', 'GWT', 'RIA']"
基于J2EE的网络视频教学系统设计与实现,"['网络教学系统', 'J2EE', '框架', '数据库']"
基于J2EE的绿化公司人资系统的设计与实现,"['J2EE', 'B/S', '人力资源管理系统', '绿化公司']"
监狱综合应用系统的设计与实现,"['监狱综合管理', 'J2EE', '数据交换', '统一建模语言']"
基于J2EE的中学OA管理系统设计与实现,"['中学', '办公自动化', 'J2EE', '工作流']"
基于MVC的信用社客户关系管理系统设计与实现,"['客户关系管理', '信用社', '决策树', '客户价值评估', 'J2EE']"
银行信贷管理系统设计与实现,"['信贷管理', '模型', 'MVC', '贷款']"
基于轻量级框架的电信客户支持管理系统设计与实现,"['客户支持管理', '轻量级框架', '营销管理', '统一建模语言']"
安捷信托投资公司信托理财系统设计与实现,"['信托理财', '信托后台系统', '数据库', 'Spring框架']"
中石化大连分公司办公系统的设计与实现,"['办公自动化', 'JAVAEE', 'MVC', 'B/S架构']"
基于移动终端的大工资产管理系统设计与实现,"['资产管理', 'Android', '预算管理', '信息系统']"
基于Struts2HibernateSpring的留言板的开发,"['留言板', 'Java EE', 'Struts2+Hibernate+Spring']"
基于SSH2的网上销售系统的设计与实现,"['网上销售系统', 'SSH2框架', '整合框架', '系统设计']"
基于SSH技术架构的高校学生管理系统的设计,"['MVC设计模式', 'SSH框架', '学生管理系统']"
基于java的web密码体系研究,"['大型企业', 'ERP', '集中部署', '部署模式', '管理模式']"
基于ZK的MES访问控制及权限管理技术,"['权限控制', '权限管理', 'ZK', 'MES']"
基于Spring MVC的数据库分页查询技术及应用研究,"['电商系统', 'Spring框架', 'MVC', '数据库设计', '分页显示']"
面向零售业主数据审核的BPM系统的设计与实现,"['主数据更新', '多环节审核', 'BPM', '等待状态', '暂停执行', '面向图的程序设计']"
基于Spring的网络生态安全智能预警与应急处理系统研究,"['网络生态安全', 'Spring', 'SNMP', '跨平台']"
智能化实验室管理系统的研究与设计,"['物联网', 'RFID', '电子标签', 'Spring框架']"
基于SSH框架的办公管理系统的设计与实现,"['办公管理', 'SSH', '加密', '工作流程']"
基于移动终端和PKI技术的第三方身份认证服务系统,"['身份认证', '移动终端', '网络安全', 'PKI', '数字证书']"
财经问答系统问句解析子系统的设计与实现,"['问答系统', '问句解析', '句法分析', '语义分析', 'Spring框架']"
基站开通调度系统的设计与实现,"['基站开通', '信息管理', '无线网络', 'SSH', 'MVC']"
基于工作流技术的移动WLAN建设规划系统的研究与实现,"['工作流', 'JBPM', '业务自动化', 'WLAN规划建设']"
研究生教务管理系统的设计与实现,"['研究生教务管理系统', '轻量级框架', '通用数据访问', '业务规则', 'JavaEE']"
基于SSH的税务信息管理系统的设计与实现,"['税务', '信息系统', 'Struts2', 'Spring', 'Hibernate']"
基于JSP的职业病预警系统的设计与实现,"['职业病预警', 'JSP', 'SSH', '数据库']"
基于Android平台的Metoos社区在线系统的设计与实现,"['Android', 'Metoos社区在线', 'S2SH']"
信用卡跨行实时还款系统设计与实现,"['信用卡跨行实时还款', '第三方支付', 'Spring框架', 'MVC', 'Hibernate']"
基于工程管理技术的油藏综合分析系统的设计与实现,"['工程管理', 'J2EE', 'Spring', 'Hibernate', '油藏分析']"
人民法院公告管理系统的设计与实现,"['信息化', '公告管理系统', 'J2EE', 'MVC模式', 'Spring', 'Hibernate']"
人民法院关联案件检索系统的设计与实现,"['法院信息化', '关联案件', 'Spring框架', 'Hibernate框架']"
